id,enjoyment1,enjoyment2,hope1,hope2,pride1,pride2,anger1,anger2,anxiety1,anxiety2,shame1,shame2,hopelessness1,hopelessness2,bordome1,bordome2,control1,control2,control3,control4,control5,value1,value2,value3,value4,value5,value6,ML1,ML2,ML3,ML4,ML5,ML1_pre,ML2_pre,ML3_pre,ML4_pre,ML5_pre
4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,4,5,5,5,3,4,4
4258,5,5,4,5,5,5,1,4,2,1,4,4,1,1,1,1,5,5,1,5,5,1,5,1,5,5,2,5,5,2,4,5,5,5,4,5,5
4222,5,5,5,5,5,5,1,5,1,1,5,5,3,1,1,1,5,5,1,5,5,1,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5
4233,5,4,5,5,4,4,1,5,4,5,3,2,2,3,2,2,3,4,2,3,2,2,4,4,4,3,3,4,5,4,4,5,4,3,4,4,3
4225,5,5,4,5,3,4,,3,4,5,3,2,2,3,1,1,5,5,3,5,3,2,5,4,5,4,3,5,5,5,4,5,4,4,3,2,5
4243,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,2,5,5,2,4,4,1,5,2,5,5,3,5,5,5,5,5,,,,,
4247,4,5,4,5,4,3,1,3,4,1,4,1,2,3,1,1,4,5,3,2,4,1,5,1,5,4,4,5,5,5,3,5,4,4,3,2,4
4203,5,5,5,5,4,4,1,1,1,1,2,1,1,1,1,1,4,5,1,2,4,1,5,1,5,4,4,5,5,5,3,5,4,4,3,2,4
4227,5,4,5,5,3,4,1,3,4,3,4,2,3,2,1,1,4,5,2,3,4,1,3,4,4,5,4,5,3,5,4,5,,,,,
4231,5,5,5,5,5,3,1,3,2,1,1,1,5,2,3,1,1,5,3,5,1,3,1,4,5,4,1,5,5,5,5,5,5,5,5,5,5
4220,5,5,5,5,5,5,1,4,5,5,5,1,1,5,1,1,5,5,5,5,5,1,5,3,5,4,4,5,5,5,5,5,3,5,2,4,4
4216,4,5,4,5,4,4,1,3,2,1,1,1,2,1,1,1,4,4,2,2,3,2,3,3,3,3,2,4,4,3,4,3,4,3,3,3,3
4210,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,,,,,
4256,4,5,3,4,2,5,1,3,4,3,1,1,1,2,2,1,4,5,3,4,1,3,3,4,5,4,5,4,4,4,3,5,5,5,5,5,5
4208,5,5,5,5,5,5,3,5,5,2,1,2,2,1,1,1,5,5,2,2,3,2,5,3,5,5,2,5,5,5,5,5,5,5,5,3,5
4241,5,5,5,5,3,5,1,3,3,5,5,2,1,1,1,1,5,5,1,5,5,1,5,3,5,5,3,5,5,5,5,5,5,4,5,5,4
4213,5,5,5,5,3,5,1,3,3,5,5,3,1,1,1,1,5,5,1,5,5,1,5,4,5,5,3,5,5,5,5,5,3,5,5,5,5
