age,education-years,gender,capital-gain,capital-loss,hours-per-week,native-country-HDI,income
17,15,1,99999,0,80,0.92,0
18,14,1,99999,0,55,0.92,0
18,15,1,99999,0,60,0.92,0
18,14,1,15024,0,80,0.92,1
18,15,1,99999,0,60,0.92,1
18,16,1,5013,0,60,0.92,1
19,14,0,15024,0,60,0.92,1
20,14,1,15024,0,78,0.92,1
20,14,1,99999,0,52,0.92,1
20,16,1,7688,0,65,0.92,1
20,15,1,15024,0,75,0.92,1
21,14,1,6418,0,65,0.92,1
22,15,1,99999,0,60,0.92,1
22,16,1,7688,0,60,0.92,1
22,15,1,15024,0,60,0.92,1
22,15,1,99999,0,60,0.712,1
22,15,1,99999,0,60,0.92,1
24,14,1,5013,0,56,0.92,1
25,15,1,15024,0,60,0.92,1
25,15,1,7298,0,60,0.92,1
25,16,1,99999,0,80,0.92,1
25,15,0,99999,0,60,0.92,1
26,15,1,99999,0,60,0.92,1
26,16,1,99999,0,60,0.92,1
26,14,1,99999,0,54,0.92,1
26,14,1,7298,0,55,0.92,1
27,15,1,15024,0,60,0.92,1
28,14,1,7688,0,60,0.92,1
28,15,1,15024,0,60,0.92,1
28,16,1,27828,0,60,0.758,1
29,14,1,7688,0,55,0.92,1
29,14,1,15024,0,60,0.92,1
29,15,1,99999,0,99,0.92,1
30,15,1,15024,0,60,0.92,1
30,14,1,5178,0,60,0.92,1
30,14,0,7430,0,60,0.92,1
30,16,1,99999,0,60,0.92,1
30,14,1,7688,0,84,0.92,1
30,14,1,15024,0,52,0.92,1
31,15,1,99999,0,84,0.92,1
31,15,1,15024,0,55,0.92,1
31,14,1,2407,0,98,0.92,1
31,16,1,15024,0,60,0.92,1
31,15,1,99999,0,60,0.92,1
32,15,1,99999,0,60,0.92,1
32,14,1,15024,0,65,0.92,1
32,15,1,99999,0,60,0.92,1
32,15,1,99999,0,70,0.92,1
32,16,1,15024,0,60,0.797,1
33,15,1,15024,0,60,0.92,1
33,14,1,15024,0,65,0.92,1
33,16,1,15024,0,60,0.939,1
33,14,1,15024,0,55,0.92,1
33,15,1,99999,0,55,0.882,1
34,15,1,99999,0,65,0.92,1
34,14,1,20051,0,60,0.92,1
34,15,1,99999,0,65,0.92,1
34,15,1,99999,0,60,0.92,1
34,14,1,7298,0,60,0.92,1
35,16,1,7688,0,60,0.922,1
35,14,1,7688,0,55,0.92,1
35,14,1,20051,0,60,0.92,1
36,14,1,15024,0,70,0.92,1
